name,grade,application,E,Fy,Fu,Ry,Rt
a1043,36,hot-rolled,29000,36,58,1.3,1.1
a1043,36,plate,29000,36,58,1.3,1.1
a1043,50,hot-rolled,29000,50,65,1.2,1.1
a1043,50,plate,29000,50,65,1.2,1.1
a1085,,hss,29000,50,65,1.25,1.15
a36,,hot-rolled,29000,36,58,1.5,1.2
a36,,plate,29000,36,58,1.3,1.2
a500,b,hss,29000,46,58,1.4,1.3
a500,c,hss,29000,50,62,1.3,1.2
a501,a,hss,29000,36,58,1.4,1.3
a501,b,hss,29000,50,70,1.4,1.3
a529,50,hot-rolled,29000,50,65,1.2,1.2
a529,55,hot-rolled,29000,55,70,1.1,1.2
a53,,hss,29000,35,60,1.6,1.2
a572,42,plate,29000,42,60,1.3,1.0
a572,50,hot-rolled,29000,50,65,1.1,1.1
a572,50,plate,29000,50,65,1.1,1.2
a572,55,hot-rolled,29000,55,70,1.1,1.1
a572,55,plate,29000,55,70,1.1,1.2
a588,42,plate,29000,42,63,1.1,1.2
a588,46,plate,29000,46,67,1.1,1.2
a588,50,plate,29000,50,70,1.1,1.2
a615,60,rebar,29000,60,90,1.2,1.2
a615,75,rebar,29000,75,100,1.1,1.2
a615,80,rebar,29000,80,105,1.1,1.2
a706,60,rebar,29000,60,80,1.2,1.2
a706,80,rebar,29000,80,100,1.2,1.2
a913,50,hot-rolled,29000,50,65,1.1,1.1
a913,60,hot-rolled,29000,60,75,1.1,1.1
a913,65,hot-rolled,29000,65,80,1.1,1.1
a913,70,hot-rolled,29000,70,90,1.1,1.1
a992,,hot-rolled,29000,50,65,1.1,1.1
brb42,,brb,29000,38,70,1.2105263157894737,1.0
